city,migros_count,population,coordinates
Sion,3,28045.0,"46.22739, 7.35559"
Zug,3,23435.0,"47.17242, 8.51745"
Schönenwerd,1,4732.0,"47.3691, 8.00167"
Zofingen,1,11451.0,"47.28779, 7.94586"
Reichenburg,1,2876.0,"47.17097, 8.97704"
Crans-Montana,2,10218.0,"46.31316, 7.47914"
Gossau ZH,1,4287.0,"47.3051, 8.75831"
Muttenz,2,16927.0,"47.52271, 7.64511"
Ebnat-Kappel,1,4852.0,"47.26195, 9.12473"
Willisau,1,3125.0,"47.12183, 7.99418"
Dornach,1,6449.0,"47.48038, 7.61644"
Buochs,1,5524.0,"46.97398, 8.42279"
Langenthal,1,14184.0,"47.21526, 7.79607"
Aarau,2,15501.0,"47.39254, 8.04422"
Naters,1,7552.0,"46.32536, 7.98912"
Horn,1,2274.0,"47.49425, 9.46246"
Stäfa,1,5737.0,"47.24254, 8.72342"
Grindelwald,1,3730.0,"46.62396, 8.03601"
Stein am Rhein,1,3224.0,"47.65933, 8.85964"
Unterägeri,1,7973.0,"47.13645, 8.5853"
Mellingen,1,4224.0,"47.41903, 8.27331"
Avenches,1,2758.0,"46.88004, 7.04071"
Rüschlikon,1,4653.0,"47.30688, 8.55135"
Boudry,1,4886.0,"46.94991, 6.83757"
Hochdorf,1,8192.0,"47.16841, 8.29179"
Fully,1,5922.0,"46.13851, 7.11468"
Lyss,1,10937.0,"47.0741, 7.30655"
Sumiswald,1,5159.0,"47.02747, 7.74526"
Herzogenbuchsee,1,5522.0,"47.18795, 7.7062"
Conthey,1,6634.0,"46.2237, 7.30283"
Sulgen,1,3367.0,"47.53967, 9.18585"
Bonstetten,1,2260.0,"47.31505, 8.46836"
Erlenbach ZH,1,4519.0,"47.30298, 8.59743"
Biel,4,48614.0,"47.13713, 7.24608"
Näfels,1,3978.0,"47.09775, 9.06361"
Matzingen,1,2399.0,"47.51957, 8.93365"
Niederrohrdorf,1,2784.0,"47.42409, 8.30404"
Kleinandelfingen,1,1094.0,"47.60058, 8.68362"
Konolfingen,1,4562.0,"46.87909, 7.62013"
Beromünster,1,2876.0,"47.20612, 8.19265"
Muri AG,1,6463.0,"47.27428, 8.33854"
Savosa,1,0.0,"46.01902, 8.94236"
Wil SG,1,23955.0,"47.46152, 9.04552"
Chavannes-près-Renens,1,5454.0,"46.53005, 6.57068"
Cortaillod,1,4410.0,"46.94306, 6.8444"
Morat,1,5800.0,"46.92827, 7.11715"
Flamatt,1,4922.0,"46.88994, 7.32204"
Niederbipp,1,3862.0,"47.27175, 7.69583"
La Tour-de-Peilz,1,10522.0,"46.45312, 6.85856"
Opfikon,1,1277.0,"47.43169, 8.57588"
Yverdon-les-Bains,2,23702.0,"46.77852, 6.64115"
Locarno,2,14509.0,"46.17086, 8.79953"
Fehraltorf,1,3767.0,"47.38775, 8.75149"
Verbier,1,2000.0,"46.1002, 7.22651"
Sempach,2,3754.0,"47.13577, 8.19149"
Fiesch,1,1003.0,"46.39981, 8.13533"
Flawil,1,9739.0,"47.41301, 9.18324"
Wittenbach,1,8542.0,"47.46108, 9.38601"
Heiden,1,3999.0,"47.44255, 9.53293"
Seon,1,4407.0,"47.34848, 8.16072"
Schüpfheim,1,3723.0,"46.95161, 8.01723"
Balsthal,1,5863.0,"47.31613, 7.69318"
Interlaken,1,5067.0,"46.68387, 7.86638"
Köniz,1,41784.0,"46.92436, 7.41457"
Baden,2,16118.0,"47.47333, 8.30592"
St. Niklaus VS,1,2352.0,"46.17717, 7.80349"
Bavois,1,662.0,"46.68403, 6.5671"
Romanel-sur-Lausanne,1,3123.0,"46.56403, 6.60538"
Thônex,1,13057.0,"46.18815, 6.19904"
Payerne,1,7655.0,"46.82192, 6.93817"
Delémont,1,11315.0,"47.36493, 7.34453"
Stalden VS,1,1232.0,"46.23341, 7.87273"
Seuzach,1,3969.0,"47.5356, 8.73209"
Bürglen,1,3996.0,"46.87565, 8.66539"
Dielsdorf,1,4671.0,"47.48146, 8.4585"
Appenzell,1,5649.0,"47.33103, 9.40996"
Hilterfingen,1,3841.0,"46.73521, 7.66185"
Wichtrach,1,3843.0,"46.8501, 7.57748"
Schwerzenbach,1,4180.0,"47.38213, 8.65727"
Grenchen,1,15927.0,"47.1921, 7.39586"
Geroldswil,1,3681.0,"47.42213, 8.41085"
Müllheim Dorf,1,2493.0,"47.60195, 9.00357"
Steckborn,1,3229.0,"47.66667, 8.98333"
Gstaad,1,9200.0,"46.47215, 7.28685"
Caslano,1,3655.0,"45.97364, 8.87739"
Ibach,1,3500.0,"47.01105, 8.64538"
Stettlen,1,2884.0,"46.95835, 7.52508"
Langnau am Albis,1,7000.0,"47.28885, 8.5411"
Meyrin,2,19772.0,"46.23424, 6.08025"
Saint-Maurice,1,3701.0,"46.21826, 7.0032"
Degersheim,1,3802.0,"47.37429, 9.20019"
Rolle,1,4425.0,"46.4582, 6.33499"
Ramsen,1,1316.0,"47.70797, 8.80949"
Epalinges,1,7706.0,"46.54896, 6.66831"
Oensingen,1,4609.0,"47.28764, 7.71612"
Niedergösgen,1,3847.0,"47.37157, 7.98837"
Aarwangen,1,4171.0,"47.23845, 7.76854"
Burgdorf,1,16420.0,"47.05901, 7.62786"
Losone,1,6070.0,"46.16866, 8.75928"
Derendingen,1,6093.0,"47.1985, 7.58844"
Morbio Inferiore,1,4331.0,"45.84915, 9.01907"
Menziken,1,5415.0,"47.23965, 8.18996"
Vétroz,1,4137.0,"46.22171, 7.27858"
Zermatt,1,6629.0,"46.01998, 7.74863"
Embrach,1,7088.0,"47.50561, 8.59406"
Fällanden,1,2100.0,"47.37169, 8.63869"
Engelberg,1,4181.0,"46.82107, 8.40133"
Oron-la-Ville,1,1198.0,"46.57094, 6.82557"
Kerzers,1,4459.0,"46.97586, 7.1957"
Mendrisio,2,7310.0,"45.87019, 8.9816"
Bex,1,5956.0,"46.24965, 7.0098"
Glarus,1,5681.0,"47.04057, 9.06804"
Aarburg,1,6828.0,"47.32067, 7.89986"
Minusio,1,6653.0,"46.17769, 8.81473"
Elgg,1,3282.0,"47.49715, 8.86523"
Melano,1,1133.0,"45.92202, 8.98435"
Cernier,1,2080.0,"47.05878, 6.9004"
Siebnen,1,7104.0,"47.17449, 8.89781"
Buchs SG,1,10418.0,"47.16743, 9.47794"
Hergiswil NW,1,5437.0,"46.98429, 8.30944"
Affoltern am Albis,1,8928.0,"47.27743, 8.45128"
Ettingen,1,4980.0,"47.48225, 7.54654"
Füllinsdorf,1,4442.0,"47.50688, 7.73129"
Leuk Stadt,1,3386.0,"46.31736, 7.63412"
Möhlin,1,9382.0,"47.55915, 7.84329"
Marin-Epagnier,1,4087.0,"47.01017, 6.99941"
Tesserete,1,1533.0,"46.06813, 8.96501"
Chamoson,1,2628.0,"46.20275, 7.22319"
Effretikon,1,10119.0,"47.42575, 8.69094"
Wilderswil,2,2303.0,"46.66369, 7.86175"
Bassersdorf,1,7010.0,"47.44342, 8.62851"
Massagno,1,5774.0,"46.01257, 8.94354"
Le Locle,1,10279.0,"47.05619, 6.74913"
Lostorf,1,3749.0,"47.38372, 7.94655"
Uznach,1,5561.0,"47.22421, 8.98263"
Saas Fee,1,1611.0,"46.10805, 7.92741"
Bremgarten AG,1,6543.0,"47.35109, 8.34214"
Münsingen,1,10928.0,"46.87298, 7.561"
Langnau im Emmental,1,8784.0,"46.93936, 7.78738"
Chiasso,1,8060.0,"45.83203, 9.03119"
Vionnaz,1,1719.0,"46.31101, 6.90062"
Aesch,1,10138.0,"47.47104, 7.5973"
Blonay,1,5244.0,"46.46778, 6.89615"
Berikon,1,4527.0,"47.35155, 8.37232"
Egerkingen,1,2923.0,"47.31957, 7.78424"
Gossau SG,2,17043.0,"47.41551, 9.25482"
Kloten,2,16289.0,"47.45152, 8.58491"
Reinach AG,1,7845.0,"47.25732, 8.18091"
Aigle,2,7723.0,"46.3181, 6.96457"
Diepoldsau,1,5401.0,"47.386, 9.65558"
Bussigny,1,7408.0,"46.5511, 6.55597"
Volketswil,1,2723.0,"47.39016, 8.69085"
Horgen,2,15973.0,"47.25983, 8.59778"
Glattbrugg,1,2642.0,"47.4313, 8.56272"
Avry-sur-Matran,1,1326.0,"46.78753, 7.06735"
Seengen,1,3288.0,"47.32503, 8.20724"
Cossonay-Ville,1,2795.0,"46.61443, 6.50631"
